Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7,Instance_8,Instance_9,Instance_10,Instance_11
5s,2438518.04,2330228.99,2208639.68,1973833.90,1865491.05,1820482.20,1704841.61,1607460.85,1662926.57,1559709.27,1433820.66,1435627.09
10s,1342716.12,1265594.62,1268165.42,1267004.98,1307804.21,1209375.40,1123169.05,1070128.80,1119062.59,1066129.46,1150657.21,1091083.85
15s,1305915.37,1288513.57,1276166.01,1325782.48,1280729.75,1299047.25,1357957.68,1354937.65,1311830.71,1294102.52,1276500.17,1341293.48
20s,1145799.57,1178097.58,1156744.87,1184985.05,1144304.82,1119539.34,1177107.32,1043115.81,1163856.02,1102485.77,1108549.63,1193458.04
25s,1227106.83,1240595.60,1233468.23,1247866.39,1361126.51,1370090.83,1337063.16,1489588.42,1434742.71,1482895.00,1658539.01,1569229.95
Final_Avg_EPS,1518374.49,1478323.33,1475340.33,1456999.42,1456298.21,1429254.04,1432306.47,1436709.75,1485035.36,1450349.99,1503538.19,1522836.54
