Time(s),Instance_0,Instance_1,Instance_2,Instance_3,Instance_4,Instance_5,Instance_6,Instance_7,Instance_8,Instance_9,Instance_10,Instance_11,Instance_12,Instance_13,Instance_14,Instance_15
5s,100.96,101.76,100.96,101.36,97.36,97.16,100.76,79.37,78.97,99.96,78.97,100.36,100.35,98.50,100.55,78.68
10s,99.80,102.00,101.60,101.80,100.21,99.81,101.60,89.20,78.80,102.01,79.21,101.81,101.60,100.01,88.60,79.50
15s,101.40,102.00,102.00,102.01,100.20,99.20,101.60,101.80,79.20,102.40,79.80,101.80,101.20,100.80,78.80,79.20
20s,101.80,102.00,102.00,82.60,99.20,99.00,101.40,102.00,94.60,101.60,79.20,102.20,101.20,99.99,77.60,78.60
25s,102.20,102.40,102.00,79.00,100.60,99.00,101.60,102.00,101.80,101.80,79.80,102.40,100.80,100.81,79.00,78.60
30s,102.00,102.00,101.80,79.20,99.60,99.20,101.80,101.60,101.80,101.80,79.80,102.00,99.80,101.60,79.00,79.00
35s,86.20,101.80,83.00,93.00,100.00,99.00,100.80,99.00,101.00,101.00,92.60,80.80,99.60,93.00,76.20,97.20
40s,79.40,98.80,101.80,101.40,101.40,99.20,101.20,101.20,101.40,101.40,99.40,79.20,100.20,79.40,78.60,101.00
45s,79.20,102.20,100.40,102.00,101.80,100.00,102.00,101.80,102.00,102.20,97.00,79.40,98.20,79.20,79.00,100.00
50s,78.60,100.20,101.20,102.00,100.40,101.80,101.60,98.00,101.20,101.80,99.40,79.38,98.20,79.40,78.40,101.60
55s,79.20,100.40,102.00,102.40,98.00,102.20,101.80,102.20,102.20,102.00,100.20,79.02,101.20,79.40,78.80,101.80
60s,79.40,98.80,102.00,102.20,98.60,102.00,102.00,102.20,101.60,101.60,99.40,79.00,101.00,79.00,79.00,101.60
65s,79.20,93.00,101.20,101.60,95.20,101.00,101.80,101.40,97.80,102.00,98.00,78.20,100.00,79.00,78.40,100.45
70s,79.40,100.60,90.00,100.60,102.20,101.40,101.80,101.60,101.60,101.80,100.20,79.40,99.00,79.40,93.20,102.15
75s,79.40,102.00,79.00,100.20,102.00,102.00,101.80,101.40,102.20,102.20,100.00,79.40,99.60,79.20,102.00,102.00
80s,79.40,101.40,79.00,82.60,102.20,99.80,99.40,100.80,101.80,102.20,98.20,96.00,101.80,79.40,101.20,101.80
85s,79.20,101.60,79.20,79.60,101.80,101.80,100.60,102.20,102.00,102.40,100.20,101.80,100.20,79.60,102.20,102.40
